H,metric,A_mean,B_mean,A_minus_B,early_break_mean,non_early_break_mean,early_minus_non
3,early_locked_fraction,0.9922839506172839,0.9444444444444444,0.0478395061728395,0.9561403508771928,1.0,-0.043859649122807154
3,early_persistent_or_locked_fraction,0.9922839506172839,0.9444444444444444,0.0478395061728395,0.9561403508771928,1.0,-0.043859649122807154
3,early_mean_run_length,10.88966049382716,10.355555555555556,0.5341049382716037,10.432017543859649,11.0,-0.567982456140351
3,early_min_run_length,9.86111111111111,9.0,0.8611111111111107,9.210526315789474,10.0,-0.7894736842105257
3,early_run_length_slope,1.7916666666666667,0.8,0.9916666666666667,0.9342105263157895,2.0,-1.0657894736842106
3,early_state_drop,0.013888888888888888,0.1,-0.08611111111111111,0.07894736842105263,0.0,0.07894736842105263
3,early_below_persistent,0.013888888888888888,0.1,-0.08611111111111111,0.07894736842105263,0.0,0.07894736842105263
5,early_locked_fraction,0.9861111111111112,0.8866666666666667,0.09944444444444445,0.9157894736842105,1.0,-0.08421052631578951
5,early_persistent_or_locked_fraction,0.9861111111111112,0.8866666666666667,0.09944444444444445,0.9157894736842105,1.0,-0.08421052631578951
5,early_mean_run_length,11.766203703703704,10.546666666666669,1.2195370370370355,10.761842105263156,12.0,-1.238157894736844
5,early_min_run_length,9.722222222222221,8.0,1.7222222222222214,8.421052631578947,10.0,-1.578947368421053
5,early_run_length_slope,3.509259259259259,1.2666666666666666,2.2425925925925925,1.5263157894736843,4.0,-2.473684210526316
5,early_state_drop,0.027777777777777776,0.2,-0.17222222222222222,0.15789473684210525,0.0,0.15789473684210525
5,early_below_persistent,0.027777777777777776,0.2,-0.17222222222222222,0.15789473684210525,0.0,0.15789473684210525
10,early_locked_fraction,0.9657407407407407,0.7,0.2657407407407407,0.7842105263157894,1.0,-0.21578947368421064
10,early_persistent_or_locked_fraction,0.9685185185185184,0.7133333333333333,0.2551851851851852,0.7973684210526315,1.0,-0.2026315789473685
10,early_mean_run_length,13.679166666666665,9.773333333333333,3.905833333333332,10.301315789473684,14.5,-4.1986842105263165
10,early_min_run_length,9.166666666666666,3.0,6.166666666666666,4.868421052631579,10.0,-5.131578947368421
10,early_run_length_slope,6.981481481481482,-3.2666666666666666,10.248148148148148,-1.5789473684210527,9.0,-10.578947368421053
10,early_state_drop,0.08333333333333333,0.7,-0.6166666666666666,0.5131578947368421,0.0,0.5131578947368421
10,early_below_persistent,0.08333333333333333,0.7,-0.6166666666666666,0.5131578947368421,0.0,0.5131578947368421
