fault,run_id,occupancy_ratio,pair_entropy,mean_run_length,dominant_pair,dominant_pair_frequency,unique_pair_count
F01,1,0.5714285714285714,1.1537419427010902,1.75,XMEAS7-XMEAS11,0.5714285714285714,4
F01,2,0.42857142857142855,1.2770342594661392,1.4,XMEAS7-XMEAS11,0.42857142857142855,4
F01,3,0.2857142857142857,1.351783994289646,1.75,XMEAS7-XMEAS11,0.2857142857142857,4
F01,4,0.5714285714285714,1.1537419427010902,1.75,XMEAS7-XMEAS11,0.5714285714285714,4
F01,5,0.42857142857142855,1.475076311054695,1.4,XMEAS7-XMEAS11,0.42857142857142855,5
F01,6,0.42857142857142855,1.2770342594661392,1.1666666666666667,XMEAS10-XMEAS11,0.42857142857142855,4
F01,7,0.2857142857142857,1.549826045878202,1.4,XMEAS7-XMEAS11,0.2857142857142857,5
F01,8,0.5714285714285714,1.1537419427010902,1.75,XMEAS7-XMEAS11,0.5714285714285714,4
F01,9,0.42857142857142855,1.475076311054695,1.4,XMEAS7-XMEAS11,0.42857142857142855,5
F01,10,0.2857142857142857,1.351783994289646,1.4,XMEAS7-XMEAS11,0.2857142857142857,4
F01,11,0.2857142857142857,1.351783994289646,1.4,XMEAS7-XMEAS11,0.2857142857142857,4
F01,12,0.42857142857142855,1.0042424730540764,1.75,XMEAS7-XMEAS11,0.42857142857142855,3
F01,13,0.42857142857142855,1.2770342594661392,1.75,XMEAS7-XMEAS11,0.42857142857142855,4
F01,14,0.2857142857142857,1.351783994289646,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,4
F01,15,0.2857142857142857,1.5498260458782016,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,5
F01,16,0.42857142857142855,1.2770342594661392,1.4,XMEAS10-XMEAS11,0.42857142857142855,4
F01,17,0.42857142857142855,1.475076311054695,1.4,XMEAS7-XMEAS11,0.42857142857142855,5
F01,18,0.2857142857142857,1.5498260458782018,1.4,XMEAS7-XMEAS11,0.2857142857142857,5
F01,19,0.7142857142857143,0.5982695885852573,3.5,XMEAS7-XMEAS11,0.7142857142857143,2
F01,20,0.5714285714285714,0.9556998911125343,1.4,XMEAS7-XMEAS11,0.5714285714285714,3
F01,21,0.2857142857142857,1.7478680974667578,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,6
F01,22,0.2857142857142857,1.549826045878202,1.4,XMEAS7-XMEAS11,0.2857142857142857,5
F01,23,0.2857142857142857,1.549826045878202,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,5
F01,24,0.5714285714285714,1.1537419427010902,1.4,XMEAS7-XMEAS11,0.5714285714285714,4
F01,25,0.2857142857142857,1.5498260458782018,1.4,XMEAS7-XMEAS11,0.2857142857142857,5
F01,26,0.42857142857142855,1.277034259466139,1.4,XMEAS7-XMEAS11,0.42857142857142855,4
F01,27,0.42857142857142855,1.277034259466139,1.75,XMEAS8-XMEAS9,0.42857142857142855,4
F01,28,0.2857142857142857,1.5498260458782016,1.4,XMEAS7-XMEAS11,0.2857142857142857,5
F01,29,0.2857142857142857,1.351783994289646,1.75,XMEAS7-XMEAS11,0.2857142857142857,4
F01,30,0.42857142857142855,1.475076311054695,1.1666666666666667,XMEAS7-XMEAS11,0.42857142857142855,5
F01,31,0.2857142857142857,1.549826045878202,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,5
F01,32,0.2857142857142857,1.7478680974667578,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,6
F01,33,0.42857142857142855,1.2770342594661392,1.1666666666666667,XMEAS7-XMEAS11,0.42857142857142855,4
F01,34,0.42857142857142855,1.2770342594661392,1.4,XMEAS7-XMEAS11,0.42857142857142855,4
F01,35,0.5714285714285714,1.1537419427010902,1.75,XMEAS7-XMEAS11,0.5714285714285714,4
F01,36,0.42857142857142855,1.2770342594661392,1.4,XMEAS8-XMEAS9,0.42857142857142855,4
F01,37,0.2857142857142857,1.549826045878202,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,5
F01,38,0.5714285714285714,1.1537419427010902,1.75,XMEAS7-XMEAS11,0.5714285714285714,4
F01,39,0.2857142857142857,1.549826045878202,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,5
F01,40,0.2857142857142857,1.549826045878202,1.4,XMEAS7-XMEAS11,0.2857142857142857,5
F01,41,0.2857142857142857,1.7478680974667578,1.1666666666666667,XMEAS7-XMEAS11,0.2857142857142857,6
