fault_number,fault_label,run_id,sample,switching,dominance,log_d2,entropy,entropy_raw,top_pair,top_pair_idx
0,NORMAL,1,100,0.0,1.0,0.29488707261504243,1.849686368583798,0.3611896707060257,XMEAS9-XMEAS11,8
0,NORMAL,1,110,0.0,1.0,0.46942699736614735,1.6011698882620444,0.6293712692569027,XMEAS9-XMEAS11,8
0,NORMAL,1,120,0.5,1.0,0.5863010204618526,1.7814564213838537,0.8474630884278644,XMEAS8-XMEAS11,6
0,NORMAL,1,130,0.6666666666666666,1.0,0.5755811793364493,1.7568570099257068,0.8313693792160446,XMEAS9-XMEAS11,8
0,NORMAL,1,140,0.5,1.0,0.7061006204342631,1.9280850709606174,1.0846468576515536,XMEAS9-XMEAS11,8
0,NORMAL,1,150,0.4,1.0,0.8569897671722904,2.1106702694797006,1.4684183258830525,XMEAS9-XMEAS11,8
0,NORMAL,1,160,0.5,0.8571428571428571,0.6574189356282503,2.003005590343864,0.9875748109847989,XMEAS9-XMEAS10,7
0,NORMAL,1,170,0.42857142857142855,0.75,0.7925401280141784,1.9552176571714373,1.2941515555089027,XMEAS9-XMEAS10,7
0,NORMAL,1,180,0.5,0.6666666666666666,1.0026962473285774,2.06774326264267,1.8619243750523453,XMEAS8-XMEAS11,6
0,NORMAL,1,190,0.5555555555555556,0.6,0.9637340747861872,2.042757236717259,1.7284099246729545,XMEAS8-XMEAS9,4
0,NORMAL,1,200,0.5555555555555556,0.5,0.8296425204133958,1.9489464796727973,1.3844208149926676,XMEAS8-XMEAS9,4
0,NORMAL,1,210,0.4444444444444444,0.6,0.941451888248634,1.5733174035789566,1.6609378597850757,XMEAS8-XMEAS9,4
0,NORMAL,1,220,0.3333333333333333,0.6,1.1220210438625093,1.597746108891302,2.2062941047080584,XMEAS8-XMEAS9,4
0,NORMAL,1,230,0.3333333333333333,0.7,0.9480585049317259,1.4351374187057215,1.6643772819831988,XMEAS8-XMEAS9,4
0,NORMAL,1,240,0.3333333333333333,0.8,0.8054579343695928,1.5897358519395872,1.298988901845178,XMEAS8-XMEAS9,4
0,NORMAL,1,250,0.2222222222222222,0.9,0.6926010050666317,1.7794406018374946,1.0606126784745413,XMEAS8-XMEAS9,4
0,NORMAL,1,260,0.3333333333333333,0.9,0.6161119078476246,1.4894421369784714,0.9137085446924096,XMEAS10-XMEAS11,9
0,NORMAL,1,270,0.2222222222222222,0.9,0.532792749682622,1.6136168017234762,0.7555596141654761,XMEAS10-XMEAS11,9
0,NORMAL,1,280,0.1111111111111111,1.0,0.4624190104452168,1.798675293229373,0.6206910041243378,XMEAS10-XMEAS11,9
0,NORMAL,1,290,0.1111111111111111,0.9,0.3498417046486411,1.8334447840049934,0.4494686057827332,XMEAS10-XMEAS11,9
0,NORMAL,1,300,0.2222222222222222,0.8,0.3436937947888247,1.8211120007896096,0.43983409848992083,XMEAS9-XMEAS11,8
0,NORMAL,1,310,0.3333333333333333,0.8,0.19212105689351533,1.8050791591850681,0.2221081329789827,XMEAS9-XMEAS10,7
0,NORMAL,1,320,0.4444444444444444,0.8,0.15604684338320646,1.9100409854966929,0.179693903954268,XMEAS8-XMEAS9,4
0,NORMAL,1,330,0.5555555555555556,0.7,0.2281875085229012,2.078519720701625,0.2672265356981473,XMEAS7-XMEAS9,1
0,NORMAL,1,340,0.6666666666666666,0.6,0.6945555116872281,1.403210955223713,1.0827897039605863,XMEAS10-XMEAS11,9
0,NORMAL,1,350,0.6666666666666666,0.6,0.6730977863438276,1.2135850030846023,1.0547643389679546,XMEAS7-XMEAS10,2
0,NORMAL,1,360,0.6666666666666666,0.6,0.7807237918256965,1.377219359312998,1.2907682653985288,XMEAS7-XMEAS10,2
0,NORMAL,1,370,0.6666666666666666,0.6,0.8109075879093847,1.2169193040157456,1.3557910382049192,XMEAS7-XMEAS10,2
0,NORMAL,1,380,0.6666666666666666,0.6,0.5037751295089181,1.7675432750360769,0.6762740438044851,XMEAS7-XMEAS10,2
0,NORMAL,1,390,0.5555555555555556,0.7,0.43010154470653034,2.091140440610364,0.5563319273456292,XMEAS7-XMEAS10,2
0,NORMAL,1,400,0.4444444444444444,0.8,0.41112157565632423,1.8464500805857236,0.53022286423656,XMEAS7-XMEAS10,2
